id_venda;operador;valor_total;forma_pagamento;data_venda
7090;Usuario Teste;5,00;PIX;11/06/2026 19:37
6697;Usuario Teste;12,50;PIX;11/06/2026 19:34
5673;Usuario Teste;4,50;Cartão de Débito;11/06/2026 18:59
8622;Usuario Teste;21,00;PIX;11/06/2026 18:23
7318;Usuario Teste;11,00;PIX;11/06/2026 18:21
7936;Usuario Teste;4,00;Dinheiro;11/06/2026 18:03
8234;Usuario Teste;6,00;PIX;11/06/2026 17:10
5182;Usuario Teste;24,00;Cartão de Débito;11/06/2026 16:58
5493;Usuario Teste;6,00;Cartão de Crédito;11/06/2026 16:51
7328;Usuario Teste;6,00;PIX;11/06/2026 16:49
6212;Usuario Teste;6,50;Dinheiro;11/06/2026 15:54
131;Usuario Teste;8,50;Cartão de Crédito;11/06/2026 15:33
8690;Usuario Teste;3,00;PIX;11/06/2026 15:33
1526;Usuario Teste;14,00;Dinheiro;11/06/2026 15:26
8323;Usuario Teste;13,50;Cartão de Débito;11/06/2026 15:20
9538;Usuario Teste;3,00;Cartão de Crédito;11/06/2026 15:12
5250;Usuario Teste;6,00;Cartão de Débito;11/06/2026 14:41
6373;Usuario Teste;17,00;Dinheiro;11/06/2026 14:38
4598;Usuario Teste;9,50;Dinheiro;11/06/2026 14:16
4448;Usuario Teste;8,00;Cartão de Crédito;11/06/2026 14:10
8149;Usuario Teste;5,50;PIX;11/06/2026 14:02
4173;Usuario Teste;6,00;Cartão de Débito;11/06/2026 12:13
733;Usuario Teste;3,00;PIX;11/06/2026 11:58
2445;Usuario Teste;2,00;PIX;11/06/2026 11:49
7398;Usuario Teste;9,00;Cartão de Crédito;11/06/2026 11:41
6779;Usuario Teste;2,00;Cartão de Débito;11/06/2026 11:41
2621;Usuario Teste;3,00;PIX;11/06/2026 11:35
6499;Usuario Teste;13,00;Cartão de Crédito;11/06/2026 11:18
4871;Usuario Teste;12,50;PIX;11/06/2026 11:04
5026;Usuario Teste;5,50;Cartão de Crédito;11/06/2026 10:54
1059;Usuario Teste;2,00;Cartão de Débito;11/06/2026 10:52
9066;Usuario Teste;10,50;Cartão de Crédito;11/06/2026 10:50
4366;Usuario Teste;7,50;PIX;11/06/2026 10:31
9829;Usuario Teste;7,50;PIX;11/06/2026 10:16
9270;Usuario Teste;7,50;Dinheiro;11/06/2026 10:09
6288;Usuario Teste;6,00;PIX;11/06/2026 09:51
4961;Usuario Teste;9,50;Cartão de Crédito;11/06/2026 09:37
3636;Usuario Teste;2,50;PIX;11/06/2026 09:27
3857;Usuario Teste;7,50;Cartão de Crédito;11/06/2026 09:04
1603;Usuario Teste;7,50;Cartão de Crédito;11/06/2026 08:55
1861;Usuario Teste;18,50;Cartão de Débito;11/06/2026 08:41
6129;Usuario Teste;9,00;Cartão de Crédito;11/06/2026 08:40
9248;Usuario Teste;3,00;Cartão de Débito;11/06/2026 08:37
5881;Usuario Teste;9,00;Cartão de Crédito;11/06/2026 08:27
5420;Usuario Teste;11,00;PIX;11/06/2026 08:03
6480;Usuario Teste;18,00;PIX;11/06/2026 07:55
5992;Usuario Teste;18,50;Cartão de Débito;11/06/2026 07:42
8371;Usuario Teste;3,00;PIX;11/06/2026 07:38
2710;Usuario Teste;4,00;Cartão de Crédito;11/06/2026 07:26
4833;Usuario Teste;7,50;PIX;11/06/2026 07:22
6410;Usuario Teste;4,00;Cartão de Débito;11/06/2026 07:14
8399;Usuario Teste;10,50;Dinheiro;11/06/2026 07:11
7714;Usuario Teste;7,50;PIX;11/06/2026 06:04
4947;Usuario Teste;24,00;PIX;10/06/2026 18:28
294;Usuario Teste;30,00;Cartão de Crédito;10/06/2026 18:18
4853;Usuario Teste;21,00;Cartão de Crédito;10/06/2026 18:16
5697;Usuario Teste;3,00;Cartão de Débito;10/06/2026 17:29
2601;Usuario Teste;13,50;PIX;10/06/2026 17:24
4348;Usuario Teste;7,50;PIX;10/06/2026 16:13
6442;Usuario Teste;6,00;PIX;10/06/2026 16:05
5331;Usuario Teste;7,50;Cartão de Crédito;10/06/2026 15:07
5813;Usuario Teste;7,50;PIX;10/06/2026 15:06
4118;Usuario Teste;2,00;PIX;10/06/2026 14:57
5821;Usuario Teste;7,00;PIX;10/06/2026 13:04
7141;Usuario Teste;21,50;Cartão de Crédito;10/06/2026 13:03
5556;Usuario Teste;13,00;Cartão de Crédito;10/06/2026 12:22
6942;Usuario Teste;21,50;PIX;10/06/2026 12:04
6062;Usuario Teste;14,00;Cartão de Crédito;10/06/2026 11:57
6717;Usuario Teste;3,00;PIX;10/06/2026 11:55
3074;Usuario Teste;6,50;Cartão de Débito;10/06/2026 11:35
7606;Usuario Teste;8,50;PIX;10/06/2026 11:12
989;Usuario Teste;12,50;Cartão de Débito;10/06/2026 11:10
4114;Usuario Teste;13,50;PIX;10/06/2026 10:55
4401;Usuario Teste;8,50;PIX;10/06/2026 10:32
3916;Usuario Teste;9,00;PIX;10/06/2026 10:30
5574;Usuario Teste;6,00;Cartão de Crédito;10/06/2026 10:12
3140;Usuario Teste;13,50;Cartão de Débito;10/06/2026 10:04
8814;Usuario Teste;6,00;Cartão de Crédito;10/06/2026 09:42
7054;Usuario Teste;3,00;PIX;10/06/2026 09:37
8035;Usuario Teste;8,00;PIX;10/06/2026 08:38
9683;Usuario Teste;2,00;Cartão de Débito;10/06/2026 08:34
5435;Usuario Teste;15,00;PIX;10/06/2026 08:28
3690;Usuario Teste;4,00;PIX;10/06/2026 08:27
9556;Usuario Teste;5,50;Dinheiro;10/06/2026 08:24
8750;Usuario Teste;23,50;PIX;10/06/2026 08:06
2683;Usuario Teste;5,50;Cartão de Débito;10/06/2026 08:04
3989;Usuario Teste;9,00;PIX;10/06/2026 07:32
4308;Usuario Teste;9,00;Cartão de Crédito;10/06/2026 07:28
1863;Usuario Teste;6,50;Cartão de Crédito;10/06/2026 07:25
5526;Usuario Teste;9,00;Cartão de Débito;10/06/2026 07:23
8955;Usuario Teste;35,50;Cartão de Crédito;10/06/2026 06:04
2064;Usuario Teste;2,00;Cartão de Débito;09/06/2026 19:15
4007;Usuario Teste;3,00;PIX;09/06/2026 18:47
6443;Usuario Teste;9,00;PIX;09/06/2026 18:24
5442;Usuario Teste;18,50;Cartão de Crédito;09/06/2026 18:20
4837;Usuario Teste;9,00;Dinheiro;09/06/2026 18:10
4683;Usuario Teste;5,50;PIX;09/06/2026 17:27
6859;Usuario Teste;18,00;Cartão de Crédito;09/06/2026 17:20
8600;Usuario Teste;24,00;Cartão de Débito;09/06/2026 17:14
374;Usuario Teste;3,00;Cartão de Crédito;09/06/2026 17:08
5963;Usuario Teste;7,50;PIX;09/06/2026 15:52
55;Usuario Teste;4,50;Cartão de Débito;09/06/2026 15:32
4027;Usuario Teste;6,00;Cartão de Crédito;09/06/2026 14:10
4008;Usuario Teste;6,00;Dinheiro;09/06/2026 13:20
3559;Usuario Teste;16,00;PIX;09/06/2026 12:26
9905;Usuario Teste;12,00;PIX;09/06/2026 11:49
2369;Usuario Teste;27,50;PIX;09/06/2026 11:40
624;Usuario Teste;12,00;PIX;09/06/2026 11:00
1278;Usuario Teste;15,00;Cartão de Crédito;09/06/2026 10:46
761;Usuario Teste;12,50;PIX;09/06/2026 10:24
6705;Usuario Teste;4,50;Cartão de Crédito;09/06/2026 10:16
6226;Usuario Teste;8,50;Cartão de Crédito;09/06/2026 09:48
9009;Usuario Teste;8,00;Cartão de Débito;09/06/2026 09:43
2521;Usuario Teste;6,00;Cartão de Débito;09/06/2026 09:22
7096;Usuario Teste;14,50;PIX;09/06/2026 08:58
3696;Usuario Teste;6,00;PIX;09/06/2026 08:54
5009;Usuario Teste;13,00;Cartão de Débito;09/06/2026 08:15
4481;Usuario Teste;10,50;Cartão de Crédito;09/06/2026 07:58
4555;Usuario Teste;4,00;PIX;09/06/2026 07:54
1085;Usuario Teste;13,50;Cartão de Débito;09/06/2026 07:51
8788;Usuario Teste;4,50;PIX;09/06/2026 07:37
7617;Usuario Teste;4,00;Cartão de Crédito;09/06/2026 07:36
3994;Usuario Teste;4,50;Cartão de Crédito;09/06/2026 07:31
3526;Usuario Teste;21,00;Cartão de Crédito;09/06/2026 07:28
4556;Usuario Teste;7,50;PIX;09/06/2026 07:28
2897;Usuario Teste;8,50;PIX;09/06/2026 07:08
3921;Usuario Teste;10,50;Cartão de Débito;09/06/2026 06:33
7365;Usuario Teste;9,00;Cartão de Débito;09/06/2026 06:32
8684;Usuario Teste;13,50;PIX;09/06/2026 06:15
6194;Usuario Teste;3,00;Dinheiro;08/06/2026 19:51
7006;Usuario Teste;9,00;PIX;08/06/2026 19:15
7824;Usuario Teste;14,50;Dinheiro;08/06/2026 19:06
3043;Usuario Teste;11,50;PIX;08/06/2026 18:48
3515;Usuario Teste;23,00;Dinheiro;08/06/2026 18:47
8945;Usuario Teste;22,00;PIX;08/06/2026 18:11
1835;Usuario Teste;13,50;PIX;08/06/2026 18:00
2233;Usuario Teste;4,00;PIX;08/06/2026 17:55
2467;Usuario Teste;8,50;Cartão de Débito;08/06/2026 17:06
6556;Usuario Teste;6,00;PIX;08/06/2026 16:47
9470;Usuario Teste;10,50;PIX;08/06/2026 15:56
8210;Usuario Teste;6,00;Dinheiro;08/06/2026 15:56
401;Usuario Teste;6,00;PIX;08/06/2026 15:41
5710;Usuario Teste;14,50;Cartão de Crédito;08/06/2026 15:37
3774;Usuario Teste;8,50;PIX;08/06/2026 15:30
3957;Usuario Teste;22,00;PIX;08/06/2026 15:11
8947;Usuario Teste;27,00;Cartão de Débito;08/06/2026 15:08
9976;Usuario Teste;8,00;PIX;08/06/2026 14:26
5681;Usuario Teste;4,00;Cartão de Débito;08/06/2026 12:37
8294;Usuario Teste;24,00;PIX;08/06/2026 12:32
7324;Usuario Teste;5,00;Cartão de Débito;08/06/2026 12:29
9892;Usuario Teste;9,50;Cartão de Crédito;08/06/2026 12:24
7907;Usuario Teste;8,00;Cartão de Débito;08/06/2026 12:23
3444;Usuario Teste;8,00;Cartão de Crédito;08/06/2026 11:53
6561;Usuario Teste;14,00;PIX;08/06/2026 11:32
6375;Usuario Teste;14,00;PIX;08/06/2026 11:19
8916;Usuario Teste;18,50;PIX;08/06/2026 11:16
740;Usuario Teste;6,50;PIX;08/06/2026 11:10
2484;Usuario Teste;7,50;PIX;08/06/2026 10:44
9180;Usuario Teste;5,50;Cartão de Débito;08/06/2026 10:32
9442;Usuario Teste;9,00;PIX;08/06/2026 10:12
5964;Usuario Teste;11,00;PIX;08/06/2026 10:11
8666;Usuario Teste;11,50;Cartão de Débito;08/06/2026 09:10
5126;Usuario Teste;12,50;Cartão de Débito;08/06/2026 08:52
4331;Usuario Teste;9,50;Cartão de Débito;08/06/2026 08:44
420;Usuario Teste;18,50;PIX;08/06/2026 08:29
